Goldfish Swim School,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by Mile Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children 9 Years and Under (with Household Incomes Greater than $100K and All Children),,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing/Planned Locations,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing/Planned U.S. Locations,DMA,<1 Mile Kids > $100K,<1 Mile All Kids,<2 Miles Kids > $100K,<2 Miles All Kids,<3 Miles Kids > $100K,<3 Miles All Kids,<4 Miles Kids > $100K,<4 Miles All Kids,<5 Miles Kids > $100K,<5 Miles All Kids,<6 Miles Kids > $100K,<6 Miles All Kids,<7 Miles Kids > $100K,<7 Miles All Kids,<8 Miles Kids > $100K,<8 Miles All Kids,<9 Miles Kids > $100K,<9 Miles All Kids,<10 Miles Kids > $100K,<10 Miles All Kids,15 Minutes Kids > $100K,15 Minutes All Kids,20 Minutes Kids > $100K,20 Minutes All Kids,25 Minutes Kids > $100K,25 Minutes All Kids
"Oakdale, MN",Minneapolis-St. Paul MN,244,"1,090",880,"3,329","2,124","8,659","4,584","17,942","7,362","26,858","9,842","34,980","12,352","46,784","15,144","59,618","18,655","71,778","22,750","84,137","17,152","67,502","29,758","107,283","50,402","180,042"
"Okemos, MI",Lansing MI,139,510,701,"2,186","1,344","4,181","1,864","6,126","2,293","8,172","2,809","11,238","3,568","15,306","4,278","20,987","4,960","26,038","5,764","31,315","2,613","9,603","4,729","22,923","7,635","39,731"
"Overland Park, KS",Kansas City MO,346,"1,041","1,473","4,311","4,252","10,406","7,720","18,831","11,518","29,543","14,798","40,668","18,496","53,506","22,304","66,354","26,517","81,822","29,475","95,599","20,943","67,415","32,970","113,200","43,917","173,623"
"Owings Mills, MD",Baltimore MD,345,"1,033","1,351","4,580","2,563","7,960","4,386","12,422","5,626","15,360","7,029","20,018","9,401","27,084","11,898","34,879","15,009","45,495","19,197","58,139","5,096","15,107","9,842","32,061","20,712","67,361"
"Pembroke Pines, FL",Miami-Ft. Lauderdale FL,574,"3,356","2,584","12,546","4,712","22,225","7,346","35,908","11,302","54,332","16,475","78,076","21,022","96,721","26,427","120,239","32,140","148,952","39,980","187,542","17,221","77,685","33,577","154,386","51,016","263,968"
"Peters Township, PA",Pittsburgh PA,192,370,718,"1,540","1,229","2,955","2,216","5,540","3,288","8,423","4,407","11,517","5,211","14,434","6,510","18,032","7,960","23,526","10,139","32,820","3,415","8,909","6,753","20,446","9,817","33,028"
"Phoenixville, PA",Philadelphia PA,158,420,"1,021","1,805","2,103","4,295","4,153","9,513","6,378","15,137","9,664","23,603","12,845","32,241","15,462","37,371","19,047","44,756","22,194","50,555","8,391","21,230","16,893","41,418","28,916","70,034"
"Plainfield, IL",Chicago IL,475,"1,014","1,949","3,568","4,205","7,774","6,063","12,259","9,079","19,091","13,432","29,178","19,382","43,135","23,559","56,553","28,883","73,585","34,857","94,811","20,580","46,380","35,166","93,810","51,730","142,484"
"Reston, VA",Washington DC (Hagerstown MD),"1,227","2,325","5,375","8,915","10,868","18,728","14,843","24,325","19,215","32,480","25,729","43,223","33,300","55,859","44,767","75,133","57,723","96,294","69,780","115,234","23,212","39,773","57,712","96,229","90,981","152,920"
"Rochester, MI",Detroit MI,430,"1,238","1,454","4,138","2,814","7,602","4,326","11,746","6,560","17,615","8,894","24,127","11,512","31,482","14,628","41,297","17,756","53,501","21,998","69,050","8,836","24,305","17,855","56,474","30,762","104,162"
